Developer,Category,Stage,Anticipated Next Steps,Funder,Date Last Updated
Scancell/ University of Nottingham/ Nottingham Trent University,DNA-based,Pre-clinical,Phase I COVIDITY clinical trial expected to start as soon as possible during 2021,Unknown,1/19/2021
Entos Pharmaceuticals/ Cytiva,DNA-based,Pre-clinical,Phase I/II expected to begin March 2021,Canadian Institutes of Health Research (CIHR)/ Research Nova Scotia (RNS)/ Institute for Ageing (IA)/ National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),2/27/2021
BioNet Asia/ Technovalia/ Vax4COVID/ The University of Sydney/ The University of Western Australia/ Telethon Kids Institute/ PharmaJet,DNA-based,Pre-clinical,Phase I expected to begin February 2021,Australian Government Medical Research Future Fund (MRFF),2/16/2021
Inovio Pharmaceuticals/ Beijing Advaccine Biotechnology/ VGXI Inc./ Richter-Helm BioLogics/ Ology Bioservices/ International Vaccine Institute/ Seoul National University Hospital/ Thermo Fisher Scientific/ Kaneka Eurogentec,DNA-based,Phase II/III,"Phase I data published December 2020; Phase II dosed December 2020, as part of its Phase II/III clinical trial (INNOVATE); FDA partial clinical hold for planned Phase II/III trial reported on 9/28/2020; Phase I/IIa trial began July 2020; Animal study results released July 2020; Joined US Operation Warp Speed in June 2020; Phase I began April 2020, interim data of ongoing study released June 2020",Coalition for Epidemic Preparedness (CEPI) / Gates Foundation / US Department of Defense,1/31/2021
University of Cambridge/ DIOSynVax/ PharmaJet,DNA-based,Pre-clinical,Phase I expected to begin late fall 2020 or early 2021,Innovate UK,10/28/2020
Mediphage Bioceuticals/ University of Waterloo/ Lambton College,DNA-based,Pre-clinical,Unknown,Unknown,9/23/2020
Symvivo,DNA-based,Phase I,Phase I dosed November 2020,National Research Council of Canada Industrial Research Assistance Program (NRC IRAP),11/2/2020
Takis/ Applied DNA Sciences/ Evvivax/ Rottapharm Biotech,DNA-based,Pre-clinical,"Phase I/II expected to begin March 2021, announced the authorization of the clinical trial by the Italian Medicines Agency (AIFA) on 2/3/2021; Pre-clinical results released in May and July 2020",Unknown,3/16/2021
Immunomic Therapeutics/ EpiVax/ PharmaJet,DNA-based,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Zydus Cadila Healthcare Limited ,DNA-based,Phase III,"Phase III dosed January 2021; Pre-clinical results released January 2021; DCGI approved start of Phase III trial in January 2021; Phase I/II study: Phase I began July 2020 and Phase II began August 2020, initial results expected September 2020",Unknown,1/31/2021
OPENCORONA Project: Karolinska Institute/ Justus Liebig University Giessen/ Public Health Agency of Sweden (FoHM)/ IGEA/ Cobra Biologics/ Adlego Biomedical/ Region Stockholm,DNA-based,Pre-clinical,Phase I expected to begin in 2020,European Commission (Horizon 2020 Program),9/23/2020
