prname,date,numconf,numdeaths
Ontario,1/31/2020,3,0
British Columbia,1/31/2020,1,0
Canada,1/31/2020,4,0
Ontario,2/8/2020,3,0
British Columbia,2/8/2020,4,0
Canada,2/8/2020,7,0
Ontario,2/16/2020,3,0
British Columbia,2/16/2020,5,0
Canada,2/16/2020,8,0
Ontario,2/21/2020,3,0
British Columbia,2/21/2020,6,0
Canada,2/21/2020,9,0
Ontario,2/24/2020,4,0
British Columbia,2/24/2020,6,0
Canada,2/24/2020,10,0
Ontario,2/25/2020,4,0
British Columbia,2/25/2020,7,0
Canada,2/25/2020,11,0
Ontario,2/26/2020,5,0
British Columbia,2/26/2020,7,0
Canada,2/26/2020,12,0
Ontario,2/27/2020,6,0
British Columbia,2/27/2020,7,0
Canada,2/27/2020,13,0
Ontario,2/29/2020,8,0
British Columbia,2/29/2020,7,0
Canada,2/29/2020,15,0
Ontario,3/1/2020,15,0
British Columbia,3/1/2020,8,0
Quebec,3/1/2020,1,0
Canada,3/1/2020,24,0
Ontario,3/3/2020,20,0
British Columbia,3/3/2020,12,0
Quebec,3/3/2020,1,0
Canada,3/3/2020,33,0
Ontario,3/5/2020,22,0
British Columbia,3/5/2020,21,0
Quebec,3/5/2020,2,0
Canada,3/5/2020,45,0
Ontario,3/6/2020,28,0
British Columbia,3/6/2020,21,0
Quebec,3/6/2020,2,0
Canada,3/6/2020,51,0
Ontario,3/7/2020,28,0
British Columbia,3/7/2020,27,0
Quebec,3/7/2020,2,0
Canada,3/7/2020,57,0
Ontario,3/8/2020,31,0
British Columbia,3/8/2020,27,1
Quebec,3/8/2020,3,0
Alberta,3/8/2020,1,0
Canada,3/8/2020,62,1
Ontario,3/9/2020,34,0
British Columbia,3/9/2020,32,1
Quebec,3/9/2020,4,0
Alberta,3/9/2020,7,0
Canada,3/9/2020,77,1
British Columbia,3/11/2020,39,1
Alberta,3/11/2020,14,0
Saskatchewan,3/11/2020,0,0
Manitoba,3/11/2020,0,0
Ontario,3/11/2020,42,1
Quebec,3/11/2020,7,0
New Brunswick,3/11/2020,0,0
Newfoundland and Labrador,3/11/2020,0,0
Nova Scotia,3/11/2020,0,0
Prince Edward Island,3/11/2020,0,0
Northwest Territories,3/11/2020,0,0
Nunavut,3/11/2020,0,0
Yukon,3/11/2020,0,0
Repatriated travellers,3/11/2020,1,0
Canada,3/11/2020,103,2
British Columbia,3/12/2020,46,1
Alberta,3/12/2020,19,0
Saskatchewan,3/12/2020,0,0
Manitoba,3/12/2020,0,0
Ontario,3/12/2020,59,1
Quebec,3/12/2020,13,0
Newfoundland and Labrador,3/12/2020,0,0
New Brunswick,3/12/2020,0,0
Nova Scotia,3/12/2020,0,0
Prince Edward Island,3/12/2020,0,0
Yukon,3/12/2020,0,0
Northwest Territories,3/12/2020,0,0
Nunavut,3/12/2020,0,0
Repatriated travellers,3/12/2020,1,0
Canada,3/12/2020,138,2
British Columbia,3/13/2020,53,1
Alberta,3/13/2020,23,0
Saskatchewan,3/13/2020,0,0
Manitoba,3/13/2020,1,0
Ontario,3/13/2020,79,1
Quebec,3/13/2020,17,0
Newfoundland and Labrador,3/13/2020,0,0
New Brunswick,3/13/2020,1,0
Nova Scotia,3/13/2020,0,0
Prince Edward Island,3/13/2020,0,0
Yukon,3/13/2020,0,0
Northwest Territories,3/13/2020,0,0
Nunavut,3/13/2020,0,0
Repatriated travellers,3/13/2020,2,0
Canada,3/13/2020,176,2
British Columbia,3/14/2020,64,1
Alberta,3/14/2020,29,0
Saskatchewan,3/14/2020,0,0
Manitoba,3/14/2020,1,0
Ontario,3/14/2020,79,1
Quebec,3/14/2020,17,0
Newfoundland and Labrador,3/14/2020,0,0
New Brunswick,3/14/2020,1,0
Nova Scotia,3/14/2020,0,0
Prince Edward Island,3/14/2020,0,0
Yukon,3/14/2020,0,0
Northwest Territories,3/14/2020,0,0
Nunavut,3/14/2020,0,0
Repatriated travellers,3/14/2020,2,0
Canada,3/14/2020,193,2
British Columbia,3/15/2020,73,1
Alberta,3/15/2020,39,0
Saskatchewan,3/15/2020,0,0
Manitoba,3/15/2020,4,0
Ontario,3/15/2020,103,1
Quebec,3/15/2020,24,0
Newfoundland and Labrador,3/15/2020,0,0
New Brunswick,3/15/2020,1,0
Nova Scotia,3/15/2020,0,0
Prince Edward Island,3/15/2020,1,0
Yukon,3/15/2020,0,0
Northwest Territories,3/15/2020,0,0
Nunavut,3/15/2020,0,0
Repatriated travellers,3/15/2020,4,0
Canada,3/15/2020,249,2
British Columbia,3/16/2020,73,4
Alberta,3/16/2020,56,0
Saskatchewan,3/16/2020,1,0
Manitoba,3/16/2020,4,0
Ontario,3/16/2020,145,1
Quebec,3/16/2020,39,0
Newfoundland and Labrador,3/16/2020,0,0
New Brunswick,3/16/2020,1,0
Nova Scotia,3/16/2020,0,0
Prince Edward Island,3/16/2020,1,0
Yukon,3/16/2020,0,0
Northwest Territories,3/16/2020,0,0
Nunavut,3/16/2020,0,0
Repatriated travellers,3/16/2020,4,0
Canada,3/16/2020,324,5
British Columbia,3/17/2020,103,7
Alberta,3/17/2020,74,0
Saskatchewan,3/17/2020,2,0
Manitoba,3/17/2020,7,0
Ontario,3/17/2020,177,1
Quebec,3/17/2020,50,0
Newfoundland and Labrador,3/17/2020,0,0
New Brunswick,3/17/2020,2,0
Nova Scotia,3/17/2020,0,0
Prince Edward Island,3/17/2020,1,0
Yukon,3/17/2020,0,0
Northwest Territories,3/17/2020,0,0
Nunavut,3/17/2020,0,0
Repatriated travellers,3/17/2020,8,0
Canada,3/17/2020,424,8
British Columbia,3/18/2020,186,7
Alberta,3/18/2020,97,0
Saskatchewan,3/18/2020,2,0
Manitoba,3/18/2020,8,0
Ontario,3/18/2020,189,1
Quebec,3/18/2020,74,1
Newfoundland and Labrador,3/18/2020,0,0
New Brunswick,3/18/2020,2,0
Nova Scotia,3/18/2020,1,0
Prince Edward Island,3/18/2020,1,0
Yukon,3/18/2020,0,0
Northwest Territories,3/18/2020,0,0
Nunavut,3/18/2020,0,0
Repatriated travellers,3/18/2020,9,0
Canada,3/18/2020,569,9
British Columbia,3/19/2020,271,8
Alberta,3/19/2020,146,1
Saskatchewan,3/19/2020,8,0
Manitoba,3/19/2020,17,0
Ontario,3/19/2020,258,2
Quebec,3/19/2020,121,1
Newfoundland and Labrador,3/19/2020,1,0
New Brunswick,3/19/2020,7,0
Nova Scotia,3/19/2020,5,0
Prince Edward Island,3/19/2020,2,0
Yukon,3/19/2020,0,0
Northwest Territories,3/19/2020,0,0
Nunavut,3/19/2020,0,0
Repatriated travellers,3/19/2020,10,0
Canada,3/19/2020,846,12
