week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,proptotal_atleast1dose,proptotal_1dose,proptotal_2doses
12/19/2020,1,Canada,Canada,8734,8734,0,0.05083105,0.05083105,0
12/19/2020,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,0.186170162,0.186170162,0
12/19/2020,12,Nova Scotia,Nouvelle-??cosse,1092,1092,0,0.111502413,0.111502413,0
12/19/2020,24,Quebec,Qu??bec,4728,4728,,0.055139785,0.055139785,
12/19/2020,46,Manitoba,Manitoba,894,894,0,0.064817225,0.064817225,0
12/19/2020,47,Saskatchewan,Saskatchewan,1048,1048,0,0.088912946,0.088912946,0
12/19/2020,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
12/19/2020,60,Yukon,Yukon,0,0,0,0,0,0
12/19/2020,62,Nunavut,Nunavut,0,0,0,0,0,0
12/26/2020,1,Canada,Canada,33734,33734,0,0.186133902,0.186133902,0
12/26/2020,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
12/26/2020,11,Prince Edward Island,??le-du-Prince-??douard,1152,1152,0,0.721691464,0.721691464,0
12/26/2020,12,Nova Scotia,Nouvelle-??cosse,2218,2218,0,0.226476514,0.226476514,0
12/26/2020,13,New Brunswick,Nouveau-Brunswick,2606,2606,0,0.333471533,0.333471533,0
12/26/2020,24,Quebec,Qu??bec,17221,17221,,0.200838036,0.200838036,
12/26/2020,46,Manitoba,Manitoba,2177,2177,0,0.157837918,0.157837918,0
12/26/2020,47,Saskatchewan,Saskatchewan,1783,1783,0,0.151270785,0.151270785,0
12/26/2020,48,Alberta,Alberta,4792,4792,0,0.108370294,0.108370294,0
12/26/2020,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
12/26/2020,60,Yukon,Yukon,0,0,0,0,0,0
12/26/2020,62,Nunavut,Nunavut,0,0,0,0,0,0
1/2/2021,1,Canada,Canada,77521,77521,0,0.333119564,0.333119564,0
1/2/2021,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
1/2/2021,11,Prince Edward Island,??le-du-Prince-??douard,1674,1674,0,1.048707909,1.048707909,0
1/2/2021,12,Nova Scotia,Nouvelle-??cosse,2720,2720,0,0.277734949,0.277734949,0
1/2/2021,13,New Brunswick,Nouveau-Brunswick,2886,2886,0,0.369301169,0.369301169,0
1/2/2021,24,Quebec,Qu??bec,28312,28312,,0.330185615,0.330185615,
1/2/2021,46,Manitoba,Manitoba,3432,3432,0,0.248828541,0.248828541,0
1/2/2021,47,Saskatchewan,Saskatchewan,3545,3545,0,0.300759917,0.300759917,0
1/2/2021,48,Alberta,Alberta,13383,13383,0,0.302654349,0.302654349,0
1/2/2021,59,British Columbia,Colombie-Britannique,19654,19654,0,0.381800691,0.381800691,0
1/2/2021,61,Northwest Territories,Territoires du Nord-Ouest,130,130,0,0.287858993,0.287858993,0
1/2/2021,60,Yukon,Yukon,0,0,0,0,0,0
1/2/2021,62,Nunavut,Nunavut,0,0,0,0,0,0
1/9/2021,1,Canada,Canada,211520,207033,4487,0.556554862,0.544748595,0.011806
1/9/2021,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2847,1994,853,0.545294702,0.381916978,0.163378
1/9/2021,11,Prince Edward Island,??le-du-Prince-??douard,2487,2487,0,1.558026625,1.558026625,0
1/9/2021,12,Nova Scotia,Nouvelle-??cosse,2755,1679,1076,0.281308744,0.171440066,0.109869
1/9/2021,13,New Brunswick,Nouveau-Brunswick,6241,na,na,0.798616976,na,na
1/9/2021,24,Quebec,Qu??bec,83294,83294,,0.971407199,0.971407199,
1/9/2021,46,Manitoba,Manitoba,8694,7813,881,0.630336636,0.566461944,0.063875
1/9/2021,47,Saskatchewan,Saskatchewan,5524,4571,953,0.468659459,0.38780637,0.080853
1/9/2021,48,Alberta,Alberta,44298,43574,724,1.001792,0.985418858,0.016373
1/9/2021,59,British Columbia,Colombie-Britannique,54354,54354,0,1.055886576,1.055886576,0
1/9/2021,61,Northwest Territories,Territoires du Nord-Ouest,511,511,0,1.131507274,1.131507274,0
1/9/2021,60,Yukon,Yukon,495,495,0,1.177114049,1.177114049,0
1/9/2021,62,Nunavut,Nunavut,29,29,0,0.073691968,0.073691968,0
1/16/2021,1,Canada,Canada,560796,534036,26760,1.475575551,1.405164204,0.070411
1/16/2021,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4250,2516,1734,0.814015625,0.48189725,0.332118
